DATENUM,DATE,SYMBOL,NAME,SECTOR,CMP,VALUATION,FAIRRANGE,PE,SECTORPE,MARKETCAP,MKCAPTYPE,TREND,FUNDAMENTAL,MOMENTUM,DERATIO,PRICETOSALES,PLEDGE,QBS,QBS%,AGS,AGS%,VALUATION_DCF,VALUATION_GRAHAM,VALUATION_EARNING,VALUATION_BOOKVALUE,VALUATION_SALES
20250112,12-Jan-2025,AARTIDRUGS,Aarti Drugs Limited,Healthcare,429.95,Overvalued,0-0,25.77,0,3924,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.44,1.65,0.00,4(10),40%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,AARTIIND,Aarti Industries Limited,Chemicals,421.75,Overvalued,0-0,34.33,0,15278,Small Cap,Sell Trend,Moderate Financials,Weak Momentum,0.60,2.19,3.85,3(10),30%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,669.5,Overvalued,0-0,26.58,0,6063,Small Cap,Buy Trend,Good Financials,Strong Momentum,0.15,3.08,0.00,6(10),60%,7(7),100%,0,0,0,0,0
20250112,12-Jan-2025,AARTISURF,Aarti Surfactants Limited,Chemicals,614.25,Fairly Valued,0-0,33.76,0,519,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.45,0.88,0.00,4(10),40%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,131.58,Overvalued,0-0,0.00,0,308,Micro Cap,Buy Trend,Poor Financials,Strong Momentum,16.14,3.64,55.18,1(10),10%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AARVI,Aarvi Encon Limited,SERVICES,129.04,Overvalued,0-0,18.83,0,191,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.08,0.44,0.00,3(10),30%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AAVAS,Aavas Financiers Limited,Financial Services,1667.55,Fairly Valued,0-0,24.75,0,13200,Small Cap,Sell Trend,Great Financials,Weak Momentum,0.00,6.07,0.00,8(10),80%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ABAN,Aban Offshore Limited,"Oil, Gas & Consumable Fuels",56.95,Overvalued,0-0,0.00,0,333,Micro Cap,Sell Trend,Poor Financials,Good Momentum,-0.64,0.70,19.37,1(10),10%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ABB,ABB India Limited,Capital Goods,6415.65,Overvalued,0-0,80.43,0,135754,Large Cap,Sell Trend,Great Financials,Strong Momentum,0.00,11.82,0.00,9(10),90%,7(10),70%,0,0,0,0,0
20250112,12-Jan-2025,ABBOTINDIA,Abbott India Limited,Healthcare,28772.8,Overvalued,0-0,47.62,0,61179,Mid Cap,Buy Trend,Great Financials,Strong Momentum,0.00,10.09,0.00,10(10),100%,7(10),70%,0,0,0,0,0
20250112,12-Jan-2025,ABCAPITAL,Aditya Birla Capital Limited,Financial Services,167.63,Undervalued,0-0,11.68,0,43685,Mid Cap,Sell Trend,Great Financials,Strong Momentum,0.00,2.36,0.00,9(10),90%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,414.6,Overvalued,0-0,0.00,0,11532,Small Cap,Buy Trend,Moderate Financials,New Listing,2.03,3.47,0.00,4(10),40%,New Listing),02 Jul 24,0,0,0,0,0
20250112,12-Jan-2025,ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Services,274.1,Fairly Valued,0-0,0.00,0,29378,Small Cap,Sell Trend,Poor Financials,Strong Momentum,1.06,2.01,0.00,2(10),20%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ABINFRA,A B Infrabuild Limited,Construction,90.63,Fairly Valued,0-0,43.10,0,492,Micro Cap,Sell Trend,Moderate Financials,Strong Momentum,0.51,2.68,0.00,5(10),50%,4(4),100%,0,0,0,0,0
20250112,12-Jan-2025,ABMINTLLTD,ABM International Limited,Services,66.7,Overvalued,0-0,814.95,0,63,Micro Cap,Sell Trend,Poor Financials,Good Momentum,0.68,0.76,0.00,0(10),0%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ABREL,Aditya Birla Real Estate Limited,Forest Materials,2072.35,Fairly Valued,0-0,238.45,0,23246,Small Cap,Sell Trend,Moderate Financials,Strong Momentum,0.63,4.67,0.00,5(10),50%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,782.1,Fairly Valued,0-0,25.15,0,22532,Small Cap,Sell Trend,Great Financials,Good Momentum,0.00,,0.00,8(10),80%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ACC,ACC Limited,Construction Materials,1931.05,Fairly Valued,0-0,17.75,0,36269,Mid Cap,Sell Trend,Moderate Financials,Weak Momentum,0.00,1.81,0.00,4(10),40%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ACCELYA,Accelya Solutions India Limited,Information Technology,1499.75,Fairly Valued,0-0,23.62,0,2239,Micro Cap,Sell Trend,Good Financials,Strong Momentum,0.00,4.38,0.00,7(10),70%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ACCURACY,Accuracy Shipping Limited,SERVICES,10.04,Overvalued,0-0,16.43,0,151,Micro Cap,Buy Trend,Moderate Financials,Weak Momentum,0.94,0.19,0.00,4(10),40%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ACE,Action Construction Equipment Limited,Capital Goods,1342.2,Fairly Valued,0-0,43.70,0,15980,Small Cap,Sell Trend,Great Financials,Strong Momentum,0.00,5.19,0.00,10(10),100%,8(10),80%,0,0,0,0,0
20250112,12-Jan-2025,ACEINTEG,Ace Integrated Solutions Limited,Services,28.55,Fairly Valued,0-0,46.97,0,29,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.01,2.56,0.00,2(10),20%,2(8),25%,0,0,0,0,0
20250112,12-Jan-2025,ACI,Archean Chemical Industries Limited,Chemicals,621.55,Overvalued,0-0,34.93,0,7677,Small Cap,Sell Trend,Good Financials,Weak Momentum,0.04,6.68,5.31,6(10),60%,3(7),43%,0,0,0,0,0
20250112,12-Jan-2025,ACL,Andhra Cements Limited,Construction Materials,77.91,Overvalued,0-0,0.00,0,711,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,2.27,2.31,26.39,-1(10),-10%,1(5),20%,0,0,0,0,0
20250112,12-Jan-2025,ACLGATI,Allcargo Gati Limited,Services,80.87,Overvalued,0-0,67.33,0,1188,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.31,0.71,0.01,3(10),30%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ACMESOLAR,Acme Solar Holdings Limited,Financial Services,230.73,Overvalued,0-0,20.00,0,13953,Small Cap,Sell Trend,Moderate Financials,New Listing,0.00,10.58,0.00,5(10),50%,New Listing),13 Nov 24,0,0,0,0,0
20250112,12-Jan-2025,ADANIENSOL,Adani Energy Solutions Limited,Power,729.25,Fairly Valued,0-0,162.07,0,87652,Large Cap,Sell Trend,Moderate Financials,Weak Momentum,2.93,4.21,0.81,4(10),40%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ADANIENT,Adani Enterprises Limited,Metals & Mining,2374.4,Fairly Valued,0-0,49.50,0,274003,Large Cap,Sell Trend,Moderate Financials,Good Momentum,1.45,2.59,0.90,4(10),40%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ADANIGREEN,Adani Green Energy Limited,Power,943.05,Overvalued,0-0,132.44,0,149390,Large Cap,Sell Trend,Good Financials,Weak Momentum,10.62,14.12,0.00,6(10),60%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,1112.2,Fairly Valued,0-0,24.50,0,240229,Large Cap,Sell Trend,Good Financials,Good Momentum,0.87,8.45,0.00,6(10),60%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ADANIPOWER,Adani Power Limited,Power,482.3,Fairly Valued,0-0,14.61,0,185866,Large Cap,Sell Trend,Good Financials,Strong Momentum,0.80,3.40,1.81,7(10),70%,7(10),70%,0,0,0,0,0
20250112,12-Jan-2025,ADFFOODS,ADF Foods Limited,Fast Moving Consumer Goods,276.65,Fairly Valued,0-0,38.05,0,3042,Micro Cap,Sell Trend,Great Financials,Strong Momentum,0.00,5.37,4.28,9(10),90%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ADL,Archidply Decor Limited,Consumer Durables,89.96,Overvalued,0-0,169.48,0,53,Micro Cap,Sell Trend,Moderate Financials,Strong Momentum,0.37,1.00,0.00,4(10),40%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ADORWELD,Ador Welding Limited,Capital Goods,1084.4,Overvalued,0-0,60.06,0,1887,Micro Cap,Sell Trend,Good Financials,Good Momentum,0.12,1.95,0.00,6(10),60%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ADROITINFO,Adroit Infotech Limited,Information Technology,18.54,Fairly Valued,0-0,24.58,0,106,Micro Cap,Sell Trend,Good Financials,Strong Momentum,0.09,3.75,0.00,6(10),60%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ADSL,Allied Digital Services Limited,Information Technology,212.81,Fairly Valued,0-0,25.83,0,1199,Micro Cap,Sell Trend,Good Financials,Weak Momentum,0.10,1.64,0.00,7(10),70%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Services,64.1,Overvalued,0-0,25.81,0,592,Micro Cap,Sell Trend,Good Financials,Weak Momentum,0.01,5.72,0.00,6(10),60%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare,339.8,Fairly Valued,0-0,27.71,0,3798,Micro Cap,Sell Trend,Good Financials,Weak Momentum,0.02,6.13,0.00,6(10),60%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,AEGISLOG,Aegis Logistics Limited,"Oil, Gas & Consumable Fuels",830,Overvalued,0-0,49.95,0,29163,Small Cap,Buy Trend,Good Financials,Strong Momentum,0.43,4.13,0.00,6(10),60%,9(10),90%,0,0,0,0,0
20250112,12-Jan-2025,AEROFLEX,Aeroflex Industries Limited,Capital Goods,188.3,Overvalued,0-0,54.01,0,2438,Micro Cap,Sell Trend,Great Financials,Good Momentum,0.00,7.26,0.00,9(10),90%,2(4),50%,0,0,0,0,0
20250112,12-Jan-2025,AETHER,Aether Industries Limited,Chemicals,864.3,Overvalued,0-0,141.66,0,11436,Small Cap,Buy Trend,Good Financials,Weak Momentum,0.08,17.55,0.00,6(10),60%,4(9),44%,0,0,0,0,0
20250112,12-Jan-2025,AFCONS,Afcons Infrastructure Limited,Construction,498.8,Overvalued,0-0,44.81,0,18358,Small Cap,Sell Trend,Good Financials,New Listing,0.49,1.47,0.00,6(10),60%,New Listing),04 Nov 24,0,0,0,0,0
20250112,12-Jan-2025,AFFLE,Affle (India) Limited,Information Technology,1601.55,Overvalued,0-0,65.58,0,22485,Small Cap,Sell Trend,Great Financials,Strong Momentum,0.07,10.88,0.00,9(10),90%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AFFORDABLE,Affordable Robotic & Automation Limited,Capital Goods,626.2,Fairly Valued,0-0,108.90,0,700,Micro Cap,Sell Trend,Poor Financials,New Listing,0.41,4.29,0.00,2(10),20%,New Listing),23 Oct 24,0,0,0,0,0
20250112,12-Jan-2025,AFIL,Akme Fintrade (India) Limited,Financial Services,76.92,Undervalued,0-0,17.62,0,326,Micro Cap,Sell Trend,Good Financials,New Listing,0.00,4.48,0.00,6(10),60%,New Listing),26 Jun 24,0,0,0,0,0
20250112,12-Jan-2025,AGARIND,Agarwal Industrial Corporation Limited,Chemicals,1213.45,Undervalued,0-0,14.74,0,1814,Micro Cap,Buy Trend,Great Financials,Good Momentum,0.68,0.79,0.00,9(10),90%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AGI,AGI Greenpac Limited,Capital Goods,1027.35,Overvalued,0-0,24.83,0,6629,Small Cap,Sell Trend,Good Financials,Strong Momentum,0.34,2.75,0.00,7(10),70%,7(10),70%,0,0,0,0,0
20250112,12-Jan-2025,AGIIL,Agi Infra Limited,Realty,1712.85,Overvalued,0-0,36.78,0,2065,Micro Cap,Buy Trend,Great Financials,New Listing,0.61,6.82,0.00,9(10),90%,New Listing),15 Jul 24,0,0,0,0,0
20250112,12-Jan-2025,AGRITECH,Agri-Tech (India) Limited,Fast Moving Consumer Goods,185.48,Overvalued,0-0,12.33,0,113,Micro Cap,Sell Trend,Poor Financials,Strong Momentum,0.00,1254.00,0.00,-1(10),-10%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AGROPHOS,Agro Phos India Limited,Chemicals,39.28,Overvalued,0-0,0.00,0,80,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.60,1.02,0.00,1(10),10%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AGSTRA,AGS Transact Technologies Limited,Financial Services,61.2,Overvalued,0-0,85.63,0,787,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.00,0.56,10.71,2(10),20%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AHL,Abans Holdings Limited,Financial Services,225.3,Undervalued,0-0,12.84,0,1140,Micro Cap,Sell Trend,Good Financials,Good Momentum,0.00,0.67,14.13,7(10),70%,4(7),57%,0,0,0,0,0
20250112,12-Jan-2025,AHLADA,Ahlada Engineers Limited,Consumer Durables,91.51,Fairly Valued,0-0,10.19,0,118,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.31,0.54,0.00,3(10),30%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AHLEAST,Asian Hotels (East) Limited,Consumer Services,150.29,Fairly Valued,0-0,11.01,0,260,Micro Cap,Sell Trend,Moderate Financials,Strong Momentum,1.45,2.34,0.00,4(10),40%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AHLUCONT,Ahluwalia Contracts (India) Limited,Construction,905.3,Fairly Valued,0-0,17.91,0,6076,Small Cap,Sell Trend,Good Financials,Strong Momentum,0.03,1.47,0.00,7(10),70%,7(10),70%,0,0,0,0,0
20250112,12-Jan-2025,AIAENG,AIA Engineering Limited,Capital Goods,3364.15,Overvalued,0-0,29.69,0,31363,Mid Cap,Sell Trend,Good Financials,Strong Momentum,0.07,7.27,0.00,6(10),60%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AIIL,Authum Investment & Infrastructure Limited,Financial Services,1862.1,Fairly Valued,0-0,7.75,0,31607,Small Cap,Buy Trend,Good Financials,New Listing,0.00,28.93,0.00,7(10),70%,New Listing),23 Apr 24,0,0,0,0,0
20250112,12-Jan-2025,AIRAN,Airan Limited,Information Technology,32.88,Overvalued,0-0,14.77,0,410,Micro Cap,Sell Trend,Poor Financials,Good Momentum,0.01,3.82,0.00,2(10),20%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AIROLAM,Airo Lam limited,Consumer Durables,127.33,Overvalued,0-0,80.23,0,191,Micro Cap,Buy Trend,Poor Financials,Good Momentum,1.12,0.90,18.86,1(10),10%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AJANTPHARM,Ajanta Pharma Limited,Healthcare,2834.2,Overvalued,0-0,40.48,0,35421,Mid Cap,Sell Trend,Great Financials,Strong Momentum,0.00,7.89,11.17,10(10),100%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AJMERA,Ajmera Realty & Infra India Limited,Realty,1085.3,Undervalued,0-0,33.90,0,4272,Micro Cap,Buy Trend,Moderate Financials,Strong Momentum,0.93,5.13,0.93,5(10),50%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AJOONI,Ajooni Biotech Limited,Fast Moving Consumer Goods,7.65,Undervalued,0-0,54.07,0,132,Micro Cap,Sell Trend,Moderate Financials,Good Momentum,0.05,1.45,0.00,5(10),50%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AKASH,Akash Infra-Projects Limited,CONSTRUCTION,32,Overvalued,0-0,0.00,0,54,Micro Cap,Sell Trend,Poor Financials,Good Momentum,1.05,1.22,0.00,-1(10),-10%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AKG,Akg Exim Limited,SERVICES,17.85,Overvalued,0-0,47.66,0,57,Micro Cap,Sell Trend,Poor Financials,Good Momentum,0.27,0.34,0.00,1(10),10%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AKI,AKI India Limited,Consumer Durables,11.37,Overvalued,0-0,61.70,0,101,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.43,1.37,0.00,3(10),30%,1(6),17%,0,0,0,0,0
20250112,12-Jan-2025,AKSHAR,Akshar Spintex Limited,Textiles,0.71,Fairly Valued,0-0,81.74,0,56,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.43,0.37,0.00,2(10),20%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AKSHARCHEM,AksharChem India Limited,Chemicals,283.5,Overvalued,0-0,0.00,0,227,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.20,0.70,0.00,2(10),20%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,AKSHOPTFBR,Aksh Optifibre Limited,Telecommunication,10.78,Overvalued,0-0,0.00,0,177,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,3.92,1.04,0.00,0(10),0%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,618.25,Overvalued,0-0,77.47,0,9717,Small Cap,Sell Trend,Moderate Financials,New Listing,0.75,7.55,0.00,3(10),30%,New Listing),06 Aug 24,0,0,0,0,0
20250112,12-Jan-2025,AKZOINDIA,Akzo Nobel India Limited,Consumer Durables,3735.35,Overvalued,0-0,39.11,0,17011,Small Cap,Buy Trend,Great Financials,Good Momentum,0.00,4.23,0.00,8(10),80%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ALANKIT,Alankit Limited,Services,20.63,Undervalued,0-0,22.01,0,557,Micro Cap,Sell Trend,Moderate Financials,Good Momentum,0.16,2.06,0.00,4(10),40%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ALBERTDAVD,Albert David Limited,Healthcare,1220.2,Fairly Valued,0-0,10.21,0,700,Micro Cap,Sell Trend,Good Financials,Good Momentum,0.01,1.92,0.00,7(10),70%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ALEMBICLTD,Alembic Limited,Realty,122.62,Fairly Valued,0-0,10.18,0,3158,Micro Cap,Sell Trend,Moderate Financials,Weak Momentum,0.00,16.45,0.00,5(10),50%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,ALICON,Alicon Castalloy Limited,Automobile and Auto Components,1030.2,Undervalued,0-0,22.98,0,1681,Micro Cap,Sell Trend,Great Financials,Good Momentum,0.57,0.97,0.00,8(10),80%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ALKALI,Alkali Metals Limited,Chemicals,109.24,Overvalued,0-0,0.00,0,111,Micro Cap,Sell Trend,Poor Financials,Good Momentum,0.36,1.32,30.06,1(10),10%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ALKEM,Alkem Laboratories Limited,Healthcare,5376.05,Overvalued,0-0,30.27,0,64236,Mid Cap,Sell Trend,Great Financials,Strong Momentum,0.12,5.06,0.00,8(10),80%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals,1768.45,Fairly Valued,0-0,53.84,0,9056,Small Cap,Sell Trend,Good Financials,Weak Momentum,0.00,6.06,0.00,7(10),70%,1(10),10%,0,0,0,0,0
20250112,12-Jan-2025,ALLCARGO,Allcargo Logistics Limited,Services,44.43,Fairly Valued,0-0,99.56,0,4359,Micro Cap,Sell Trend,Good Financials,Weak Momentum,0.39,0.30,0.00,6(10),60%,2(10),20%,0,0,0,0,0
20250112,12-Jan-2025,ALLDIGI,Alldigi Tech Limited,Services,1027.35,Undervalued,0-0,20.52,0,1561,Micro Cap,Buy Trend,Great Financials,Strong Momentum,0.00,3.06,0.00,8(10),80%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,ALMONDZ,Almondz Global Securities Limited,Financial Services,32.89,Undervalued,0-0,15.75,0,545,Micro Cap,Buy Trend,Good Financials,Weak Momentum,0.00,4.39,0.00,7(10),70%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ALOKINDS,Alok Industries Limited,Textiles,19.49,Overvalued,0-0,0.00,0,9672,Small Cap,Sell Trend,Poor Financials,Weak Momentum,-1.32,2.10,0.00,0(10),0%,4(10),40%,0,0,0,0,0
20250112,12-Jan-2025,ALPA,Alpa Laboratories Limited,Healthcare,125.9,Undervalued,0-0,12.71,0,265,Micro Cap,Buy Trend,Moderate Financials,Good Momentum,0.03,2.72,0.00,4(10),40%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,ALPHAGEO,Alphageo (India) Limited,"Oil, Gas & Consumable Fuels",442.55,Fairly Valued,0-0,20.91,0,281,Micro Cap,Buy Trend,Moderate Financials,Weak Momentum,0.00,2.08,9.57,3(10),30%,3(10),30%,0,0,0,0,0
20250112,12-Jan-2025,ALPSINDUS,Alps Industries Limited,Textiles,2.27,Overvalued,0-0,0.00,0,9,Micro Cap,Sell Trend,Poor Financials,Good Momentum,-1.00,4.71,46.27,-1(10),-10%,4(8),50%,0,0,0,0,0
20250112,12-Jan-2025,AMBER,Amber Enterprises India Limited,Consumer Durables,7831.15,Overvalued,0-0,142.55,0,26486,Small Cap,Buy Trend,Good Financials,Strong Momentum,0.72,3.24,0.00,6(10),60%,6(10),60%,0,0,0,0,0
20250112,12-Jan-2025,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Fast Moving Consumer Goods,30.41,Overvalued,0-0,8.79,0,53,Micro Cap,Buy Trend,Moderate Financials,Good Momentum,0.66,0.48,0.03,5(10),50%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AMBIKCO,Ambika Cotton Mills Limited,Textiles,1535.75,Overvalued,0-0,13.62,0,881,Micro Cap,Sell Trend,Poor Financials,Weak Momentum,0.10,1.09,0.00,2(10),20%,2(10),20%,0,0,0,0,0
20250112,12-Jan-2025,AMBUJACEM,Ambuja Cements Limited,Construction Materials,511.25,Overvalued,0-0,42.24,0,125890,Large Cap,Sell Trend,Moderate Financials,Good Momentum,0.00,3.83,0.00,3(10),30%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AMDIND,AMD Industries Limited,Capital Goods,58.44,Overvalued,0-0,74.76,0,113,Micro Cap,Sell Trend,Poor Financials,Good Momentum,0.63,0.42,0.00,0(10),0%,5(10),50%,0,0,0,0,0
20250112,12-Jan-2025,AMIORG,Ami Organics Limited,Healthcare,2081.95,Fairly Valued,0-0,91.41,0,8517,Small Cap,Sell Trend,Good Financials,Strong Momentum,0.32,10.45,0.00,6(10),60%,7(10),70%,0,0,0,0,0
20250112,12-Jan-2025,AMJLAND,Amj Land Holdings Limited,Realty,58.95,Fairly Valued,0-0,18.58,0,242,Micro Cap,Sell Trend,Moderate Financials,Good Momentum,0.08,3.67,0.00,5(10),50%,5(10),50%,0,0,0,0,0
